category,Hue,Saturation,Value
field,24.898,237.5416,167.5973
field,26.4412,237.5152,163.8397
field,25.1815,244.5464,149.1627
field,24.7186,217.3647,160.9585
field,26.0577,245.575,184.587
field,26.2511,232.3349,190.5052
field,24.5298,238.3359,156.8286
field,26.2246,242.9931,199.5716
field,23.1896,249.1021,172.6888
field,26.3026,245.1842,191.1801
field,25.2495,228.4332,169.7206
field,25.2438,224.9249,166.5147
field,25.0527,248.3873,170.8783
field,26.8302,242.0837,171.7015
field,25.2509,250.7906,166.1926
field,26.1839,243.1247,198.6451
field,26.8173,249.9243,166.8614
field,24.5835,223.8805,180.046
field,25.2975,250.6167,157.4941
field,25.8458,227.0196,198.708
field,24.7015,247.3296,166.4471
field,25.8859,245.1563,186.2463
field,25.8906,228.1391,188.5508
field,26.0517,248.5155,186.3392
field,26.0536,239.6231,184.2918
field,25.692,233.3356,185.6349
field,24.631,217.3533,184.5589
field,21.3886,232.3919,158.729
field,23.6958,221.6603,150.6113
field,25.6961,241.9906,183.2364
field,25.5784,243.7388,184.8747
field,24.5748,235.7418,163.1321
field,25.3428,245.3183,169.8425
field,23.6507,247.2482,169.0578
field,26.2003,246.0261,198.6983
field,26.0677,246.8757,176.6963
field,26.1713,244.2913,187.0705
field,26.4493,248.0535,186.3577
field,24.203,213.2424,178.4934
field,26.1417,243.8979,179.859
field,26.9768,247.4134,175.4967
field,26.0453,250.351,171.6686
field,24.5696,216.617,170.4076
field,25.032,233.6308,149.6249
field,25.9315,239.0544,190.5742
field,22.6616,251.9959,169.9354
field,28.9972,234.8622,188.0797
field,23.2241,211.9942,142.9648
field,25.6837,227.5519,168.4873
field,26.9705,237.6853,189.0303
field,24.5025,246.0309,176.3636
field,24.5677,219.1257,164.179
field,25.5169,227.0644,164.4038
field,25.5385,239.3919,194.3483
field,27.2418,241.7775,175.2973
field,24.4973,242.4001,167.5075
field,25.5639,249.3334,184.4438
field,25.3006,245.3161,169.9344
field,40.3744,198.3963,142.1333
field,25.7415,241.3214,193.6509
field,25.7079,239.854,147.8333
field,29.0495,229.4707,179.6025
field,25.4712,250.5119,154.7759
field,25.0203,246.0466,167.7748
field,24.5582,208.3468,141.4933
field,27.868,225.0647,155.102
field,25.4203,251.6765,155.4288
field,25.0326,252.2714,172.9594
field,24.5268,226.8986,172.4748
field,24.7452,230.4743,162.2494
field,25.0488,203.534,142.5826
field,26.3947,251.2188,173.8706
field,25.5148,239.0504,177.6858
field,25.0119,245.0983,155.5587
field,25.8519,241.482,195.2428
field,23.0611,218.8222,152.1368
field,26.2179,232.9501,165.005
field,25.3198,241.1761,170.064
field,24.2719,232.4496,163.7735
field,26.1769,224.655,194.0987
field,26.4505,235.8173,178.6434
field,25.7501,233.1212,195.9712
field,25.5522,237.6593,191.3568
field,30.0255,215.6312,174.225
field,26.2247,249.1863,190.9379
field,26.5575,219.2276,158.4274
field,24.9631,250.5553,167.0487
field,28.2309,231.7071,180.8156
field,29.3502,200.7673,134.2711
field,25.6583,238.4644,186.952
field,26.1224,243.8982,182.0294
field,25.2835,196.4914,141.7154
field,25.5508,220.2423,164.1421
field,25.4059,247.2147,160.9056
field,25.7841,248.4214,177.8543
field,25.9544,238.6883,192.1098
field,25.6523,221.5841,193.4188
field,25.0619,247.6575,169.9245
field,24.8402,229.4037,145.1443
field,24.8997,242.6919,166.1695
field,27.1019,239.4239,165.5059
field,25.7616,245.6345,184.173
field,25.7758,222.8316,191.9334
field,24.7973,248.6767,175.7709
field,27.5244,236.8148,164.9279
field,25.7886,247.1025,190.587
field,25.5506,241.9598,170.0696
field,26.2111,231.2028,194.2723
field,23.3417,252.6956,171.8318
field,25.4184,248.6606,157.3266
field,25.4563,238.0633,178.4874
field,26.0093,232.8769,198.4809
field,26.2142,233.3607,197.2882
field,26.1148,246.0385,190.95
field,25.3283,237.3207,180.1141
field,24.5756,225.5339,179.332
field,24.1471,239.5779,165.386
field,23.8538,226.5743,149.695
field,26.3684,241.5763,186.8814
field,26.7243,240.809,187.6733
field,24.4881,244.823,135.4729
field,28.8178,244.5873,172.7302
field,26.474,229.758,184.126
field,25.2658,241.7895,158.6065
field,24.8881,220.9997,180.6927
field,24.7348,229.1802,160.5597
field,25.1048,247.5896,163.4859
field,23.1832,251.1691,177.7873
field,22.4103,230.4992,152.3233
field,25.0424,245.2851,165.6847
field,25.4413,251.0757,162.305
field,25.8103,232.1723,188.0545
field,25.7095,229.4809,195.5819
field,25.8798,235.4221,197.5288
field,25.2867,220.1485,166.5786
field,25.3606,240.4627,187.3297
field,25.6965,238.6625,158.3671
field,25.6959,232.1011,173.4357
field,25.1975,244.1402,170.3495
field,25.6285,239.0995,184.0293
field,25.7561,248.9962,186.3563
field,28.7658,236.5948,171.8217
field,26.7124,247.9243,169.9489
field,24.9642,247.8887,174.3807
field,23.9738,217.3652,141.7921
field,24.7298,249.0519,168.9948
field,26.0304,248.6746,180.2883
field,24.8242,251.1695,170.1215
field,26.259,227.4426,198.4
field,25.9692,239.1465,192.6802
field,24.7006,214.8766,172.6576
field,26.6771,240.9391,182.7208
field,24.6564,242.7628,166.4846
field,24.6916,250.206,149.7877
field,27.7583,224.9201,152.8798
field,26.3703,234.5835,185.4943
field,23.8543,229.7084,153.0921
field,31.1996,226.4586,143.6789
field,24.935,216.8385,166.4761
field,25.1161,251.0801,169.1206
field,25.7646,244.1053,170.8091
field,25.8834,229.8209,162.0469
field,27.271,235.0263,188.1062
field,25.1369,250.223,160.5571
field,26.4826,239.8567,171.6989
field,25.5339,236.7133,194.8496
field,26.4674,234.7018,180.7278
field,26.1132,226.7332,193.6468
field,23.6602,229.7618,142.9645
field,26.0335,242.3777,154.2206
field,24.6568,228.3013,170.851
field,25.888,241.3859,170.7994
field,25.5791,245.7949,174.3969
field,25.8336,245.8345,172.0962
field,25.0867,250.9911,166.7345
field,23.8023,227.3644,143.2721
field,27.8233,219.6656,153.579
field,26.3134,227.4257,185.8495
field,23.4788,225.7409,143.4613
field,25.3913,242.8212,171.892
field,26.9405,244.7804,178.583
field,25.3304,250.6568,156.2446
field,30.114,213.7375,130.5125
field,26.9212,223.851,158.8633
field,25.229,249.5884,160.131
field,25.5291,241.7411,170.1281
field,26.0061,233.7383,164.4935
field,26.0097,233.293,187.2251
field,25.458,250.4833,163.3135
field,26.3593,243.3979,184.3724
field,24.9166,245.6321,169.3439
field,24.857,249.6959,173.6059
field,26.1098,233.831,196.3768
field,25.7635,235.35,194.5134
field,25.525,237.6372,157.811
field,25.6625,220.0195,193.7912
field,25.5068,240.8438,164.3016
field,27.325,232.1861,192.4433
field,23.8194,229.3379,142.3573
field,25.4479,238.7608,160.7622
field,26.2945,237.7745,188.929
field,23.5846,225.9297,149.4166
field,23.6124,224.276,140.785
field,26.0637,247.6907,152.9807
field,33.5446,213.5598,135.1347
field,27.2985,229.0445,153.6732
field,25.3938,248.8321,171.3405
field,25.5194,248.0154,168.2771
field,27.7695,238.1335,184.2952
field,25.5269,247.3469,166.7738
field,26.9047,235.8683,179.5177
field,25.7234,249.0774,187.4595
field,24.6829,245.3907,166.3696
field,25.012,246.8725,175.978
field,25.5636,237.684,177.5724
field,25.9261,240.5771,157.1373
field,24.8972,251.4346,166.6239
field,26.3617,243.5611,200.0144
field,26.1206,244.8975,198.635
field,25.5968,248.8034,164.6058
field,26.6507,249.3702,169.4035
field,24.7584,217.8804,169.4401
field,25.9155,242.2923,200.6415
field,24.5339,230.8491,163.9373
field,26.62,250.7346,171.2177
field,25.9959,229.3665,199.445
field,25.0215,252.4836,169.6437
field,29.1287,239.9946,155.4556
field,26.2778,239.1339,182.0816
field,25.7633,238.5097,153.8707
field,24.3592,221.8039,152.42
field,24.6865,232.7202,156.6102
field,26.2305,243.36,189.684
field,24.1975,230.4485,165.4358
field,26.7762,228.5442,179.0752
field,23.4603,209.0426,143.6223
field,24.0366,233.0469,156.5805
field,24.4921,222.0149,153.1659
field,24.3688,249.4794,174.8558
field,26.2128,252.1913,171.3473
field,24.895,232.6368,152.2139
field,26.2521,246.9018,174.2723
field,26.1835,240.8215,195.0876
field,24.3664,215.3149,179.6544
field,26.5127,233.0516,194.7217
field,24.9322,233.8066,159.0276
field,22.8937,231.6156,156.1925
field,23.5374,221.1403,152.56
field,25.5945,238.1438,178.4131
field,24.7609,232.2614,163.1627
field,27.1616,235.4015,193.8561
field,25.1015,248.171,162.9187
field,24.8267,238.1831,168.9608
field,26.2797,235.7919,181.9135
field,25.1486,247.6177,159.4789
field,26.1482,245.5327,154.5259
field,26.0981,238.8646,187.4217
field,26.5558,219.563,170.7659
field,24.8638,251.0464,165.5102
field,25.2408,251.9191,159.8049
field,25.0279,241.0364,171.2719
field,24.8575,238.8804,187.5422
field,26.4207,241.3772,189.7155
field,25.8765,227.8001,195.756
field,23.4076,248.6194,189.4235
field,25.04,250.0824,165.3346
field,22.8095,248.1679,191.9933
field,26.3415,236.2014,188.9141
field,25.883,245.3595,161.8532
field,23.4543,226.8037,139.066
field,25.3752,250.0781,154.5263
field,25.779,246.6903,182.1292
field,25.9152,247.4267,187.6013
field,24.5819,242.5045,166.8052
field,25.8833,241.0118,178.9549
field,25.7292,244.4083,188.341
field,26.0191,241.5428,184.6251
field,26.0558,232.489,164.7877
field,24.7609,230.0303,143.9958
field,30.143,234.2456,119.3991
field,25.0942,240.7137,169.9981
field,24.1647,232.0123,137.1076
field,23.5272,249.4353,188.7975
field,25.6469,248.2862,158.3018
field,25.1865,243.9241,167.8543
field,21.5334,233.9839,171.0575
field,25.5087,222.4696,174.7609
field,25.8075,245.5252,183.2396
field,26.5714,242.1476,187.3877
field,24.7891,238.4697,160.2766
field,26.3607,230.2641,185.8976
field,25.3642,248.1386,156.7387
field,24.2207,248.8753,186.0682
field,25.0626,249.6761,154.6342
field,25.9095,245.7122,172.4231
field,24.6252,215.4408,182.1817
field,26.097,224.6637,161.642
field,25.9998,238.9224,166.1194
field,25.076,225.1473,143.5304
field,24.6616,249.2564,154.1681
field,24.2581,247.256,150.8409
field,27.5005,232.2236,167.2346
field,29.8576,216.34,156.4919
field,27.0884,227.3161,191.4024
field,24.8992,248.4181,174.8019
field,25.4829,246.0336,173.7863
field,25.9533,242.0833,190.431
field,27.4292,238.0407,167.1191
field,25.7237,229.0259,196.8897
field,26.6002,224.8469,165.2744
field,25.9639,230.0498,198.6159
field,25.0854,248.8965,170.2859
field,26.9527,247.2277,175.6621
field,22.9894,230.4402,156.5315
field,25.6188,245.8638,181.5583
field,24.4932,240.4133,164.2454
field,25.9963,244.7613,188.1364
field,25.4166,240.9098,177.5316
field,24.7119,226.3314,169.2371
field,25.1216,249.15,169.8765
field,24.8938,217.6859,179.1949
field,23.5443,232.1744,158.2827
field,24.268,248.2529,174.66
field,29.7482,243.9971,174.8209
field,25.359,249.1896,172.6552
field,29.8723,231.2859,182.6213
field,26.5127,237.0856,152.2931
field,25.6196,244.4473,191.3378
field,25.6052,223.3764,188.8926
field,29.5691,229.4122,195.8043
field,25.3162,238.6413,164.586
field,26.5898,234.4054,187.4596
field,25.2779,224.9581,166.8901
field,23.8588,225.5632,150.351
field,24.6982,207.007,154.7862
field,24.8967,223.8187,140.9694
field,26.1344,226.3068,163.5306
field,25.8503,245.416,192.4494
field,26.7016,238.2053,169.5491
field,25.7265,231.1978,170.7478
field,26.1005,238.9976,153.6865
field,24.05,227.8855,152.3554
field,25.3605,227.7565,168.6058
field,26.9528,231.8488,191.258
field,25.8996,241.6545,179.4707
field,20.958,230.6151,139.861
field,25.9563,232.3926,195.1161
field,24.4445,242.5146,162.5845
field,25.6823,218.9362,179.3543
field,26.2938,239.732,189.4418
field,26.3647,227.4676,188.9454
field,26.8521,231.8148,160.5633
field,26.1154,246.5528,151.3198
field,26.8324,233.5189,170.6886
field,25.681,246.5357,178.0832
field,25.1168,239.8363,169.576
field,26.0055,236.0548,192.6849
field,24.7705,249.9525,164.4029
field,25.0153,243.5826,170.2956
field,25.9313,241.66,188.3079
field,27.3938,234.4455,158.0331
field,25.6206,248.2798,188.0325
field,28.8058,230.8498,190.9356
field,27.6848,225.7383,172.9653
field,26.4678,236.3402,158.3981
field,24.077,225.294,133.796
field,25.3934,250.4793,146.6407
field,26.1205,236.802,198.2119
field,26.2693,247.3221,187.2619
field,25.7284,221.391,194.7561
field,24.8925,249.3309,168.0841
forest,46.2979,99.0873,55.7372
forest,43.1501,145.6667,49.446
forest,45.3625,145.1127,48.9178
forest,45.3427,107.2358,76.3226
forest,46.3111,154.8197,52.5444
forest,43.9895,142.5313,41.6547
forest,52.1808,120.8263,47.7683
forest,40.9983,148.0999,54.7005
forest,38.142,187.0713,52.0058
forest,56.2456,98.793,48.6909
forest,44.7304,152.5926,45.8378
forest,44.2007,95.1108,51.0296
forest,34.2824,165.7762,68.4674
forest,47.5839,85.5424,51.9645
forest,43.0294,167.6022,62.8192
forest,48.1515,94.884,55.9793
forest,36.6084,146.7988,58.9886
forest,36.6571,167.6992,61.5313
forest,47.0019,153.7287,50.328
forest,43.6147,160.4511,51.9002
forest,44.9333,181.549,62.5908
forest,43.1818,120.0572,69.948
forest,48.3973,110.2085,42.9732
forest,45.5292,182.7043,54.4467
forest,45.0693,143.7506,47.4879
forest,49.0214,133.8705,49.4577
forest,34.868,154.2066,67.6012
forest,53.9603,102.7261,44.255
forest,37.5685,156.2012,68.5679
forest,45.1864,161.1528,66.1181
forest,45.5426,177.7642,60.9046
forest,39.1435,112.6216,74.8062
forest,47.1045,155.2019,42.8052
forest,43.9341,160.0683,47.6647
forest,43.0334,188.7657,67.9199
forest,45.5663,158.7018,44.437
forest,50.2385,97.0372,50.9594
forest,47.7994,106.4521,40.5085
forest,42.4777,159.7982,65.4592
forest,35.1149,142.8813,70.0587
forest,42.1008,130.9619,67.3185
forest,56.3117,89.9339,38.0164
forest,44.8048,142.1843,62.1494
forest,60.569,82.0621,49.9173
forest,43.046,89.9227,51.5692
forest,35.9473,146.7351,61.0251
forest,42.2859,154.4486,65.2645
forest,43.441,144.1307,50.1463
forest,36.1586,176.0778,53.0315
forest,43.8663,168.7915,62.2148
forest,42.629,200.5034,55.6466
forest,49.0325,137.5421,39.1879
forest,44.8033,192.7522,53.1771
forest,40.8987,161.1901,42.4657
forest,42.561,147.4531,48.2731
forest,43.6853,150.7769,63.7279
forest,45.9198,123.1781,42.2385
forest,43.7411,186.5008,57.6915
forest,44.4531,159.8195,63.2256
forest,42.7354,174.8728,67.2712
forest,34.7678,149.8025,74.2194
forest,44.3776,162.6732,54.7875
forest,38.8838,145.3669,55.5883
forest,46.3273,158.5054,55.2598
forest,48.1779,100.3716,68.259
forest,52.2288,122.1198,40.6767
forest,41.9679,170.265,63.6497
forest,39.4252,116.6939,75.1979
forest,44.1064,172.0084,38.6234
forest,46.027,147.9295,45.0664
forest,42.7724,180.15,53.7936
forest,36.5725,158.8615,70.603
forest,40.5097,132.1125,45.2144
forest,35.7366,145.4263,69.8977
forest,37.281,145.2327,50.906
forest,47.6672,123.3671,43.2281
forest,42.8954,151.4898,45.8882
forest,41.5829,135.7952,67.3775
forest,43.6752,152.9066,61.6782
forest,48.2058,109.8855,36.7858
forest,35.7295,153.8313,75.0239
forest,39.7343,141.1377,60.6192
forest,44.1514,159.9071,55.1374
forest,44.6948,153.0174,44.7283
forest,43.0042,143.4739,43.3785
forest,36.2478,148.8237,51.7894
forest,45.8511,151.935,50.5648
forest,41.9323,163.0972,62.141
forest,53.0116,108.8842,40.6702
forest,42.4547,172.7359,60.6874
forest,43.7993,150.7498,63.1776
forest,39.5271,134.1395,52.0228
forest,29.3657,185.5755,48.5151
forest,37.9167,212.2376,41.1274
forest,48.995,124.1124,52.2897
forest,57.6399,87.7958,39.0298
forest,43.8574,120.8588,60.9059
forest,44.8309,160.4155,61.8739
forest,39.3514,166.6207,48.9811
forest,38.256,147.6496,44.9495
forest,37.8754,140.8887,56.0564
forest,58.0641,64.4392,55.5595
forest,44.2021,176.1218,71.633
forest,35.4565,181.3305,59.4874
forest,50.301,104.8948,48.3861
forest,45.2436,109.5755,76.9556
forest,38.9089,171.6773,52.7496
forest,42.0923,111.7081,46.6236
forest,45.0536,131.5804,44.7417
forest,29.2682,168.6749,50.7738
forest,41.679,195.226,59.1153
forest,34.4533,163.5602,78.434
forest,42.4186,147.9325,66.117
forest,60.9712,97.5487,49.7784
forest,36.1285,155.9697,68.7333
forest,44.2036,165.1867,38.2416
forest,41.2377,188.8557,59.3272
forest,40.8728,178.7259,71.5853
forest,42.8798,169.9173,69.0945
forest,36.8369,179.5227,70.8832
forest,42.3324,155.5586,46.9026
forest,30.0162,166.0327,54.475
forest,52.1289,106.1573,51.069
forest,45.5458,145.2366,51.3
forest,31.9323,188.7023,83.7658
forest,43.0581,119.4375,70.0183
forest,36.0665,168.9188,67.866
forest,40.3872,152.845,58.5721
forest,45.8653,137.7729,57.7716
forest,61.4561,87.5046,53.8215
forest,47.3379,135.7259,52.3147
forest,38.0392,172.6876,44.64
forest,42.8833,151.6581,46.6809
forest,45.1342,138.4649,40.2944
forest,40.8595,189.3428,59.3876
forest,55.808,98.3124,48.4718
forest,42.7748,158.0927,46.5812
forest,42.5714,168.8345,66.2567
forest,42.6973,152.0681,48.0126
forest,48.3949,131.8529,41.1609
forest,58.4018,97.7229,45.3176
forest,45.793,119.9446,44.7018
forest,43.5098,164.1601,47.0898
forest,41.9767,165.5968,53.6389
forest,56.7252,93.9886,43.1922
forest,34.4967,168.6178,62.605
forest,48.149,141.1246,59.8126
forest,47.7374,87.2578,59.5861
forest,42.4921,159.4767,69.8311
forest,47.2065,151.7164,39.2397
forest,36.0123,193.0579,65.7035
forest,46.6315,160.7296,56.8426
forest,41.7188,117.2884,51.9989
forest,41.5472,192.7524,70.5433
forest,70.5886,87.0544,55.6971
forest,37.1692,160.5843,28.8309
forest,37.4405,140.2086,81.9768
forest,51.4831,113.3979,56.7834
forest,33.948,157.8631,61.1313
forest,47.9907,124.2196,48.2024
forest,41.5085,154.8991,47.7375
forest,38.0106,149.155,52.333
forest,45.8745,158.3389,60.2607
forest,45.9646,138.6896,42.2588
forest,45.2074,149.805,43.1671
forest,43.1287,145.1612,48.2379
forest,45.5395,176.0466,52.7382
forest,50.4089,105.6927,43.4693
forest,37.9861,185.2706,44.3508
forest,40.7097,163.8197,52.5987
forest,50.6232,130.6933,44.0058
forest,48.2895,126.9928,55.5989
forest,43.8401,172.3283,62.5497
forest,41.3035,194.3117,53.6427
forest,45.145,157.1384,71.1132
forest,62.1053,102.3581,53.2616
forest,37.6206,112.3864,53.5461
forest,35.5089,159.2485,28.9902
forest,45.8039,162.891,50.7721
forest,43.3425,191.084,58.1874
forest,45.4311,130.5161,73.8288
forest,43.0395,163.3473,67.4386
forest,50.878,128.4426,54.9313
forest,38.1635,162.1914,52.4946
forest,42.7109,121.38,59.9123
forest,35.7665,170.5052,69.1565
forest,35.1978,160.5417,59.4214
forest,36.8997,167.1367,54.5537
forest,61.0016,90.4341,40.5973
forest,35.704,190.7455,49.7341
forest,57.2026,88.7458,40.0378
forest,46.0473,145.8992,58.1289
forest,35.0668,149.2638,64.1037
forest,44.9,134.8222,40.5808
forest,44.7081,139.5865,67.8582
forest,45.5537,132.2098,70.4978
forest,45.1611,151.231,63.965
forest,40.7417,137.4039,48.0505
forest,46.8067,150.5499,44.6691
forest,44.0091,148.8417,69.086
forest,45.7741,121.6771,41.9811
forest,34.5337,145.7953,86.8916
forest,44.7231,178.8231,63.1622
forest,46.7921,154.896,45.2761
forest,54.8224,73.9994,59.6216
forest,48.3144,163.6581,50.3205
forest,47.5766,134.152,41.5498
forest,47.4711,102.4361,70.8474
forest,47.6785,187.5851,65.5481
forest,43.9773,164.3498,66.6463
forest,37.1951,142.6708,75.9568
forest,45.6516,151.0644,51.9062
forest,71.1623,82.5893,52.6248
forest,42.0183,184.1352,68.3074
forest,41.763,98.7031,51.3786
forest,35.1508,153.5165,75.2491
forest,43.7466,154.1273,58.6641
forest,42.3534,158.9886,66.2063
forest,42.3761,149.2911,48.8199
forest,52.9001,100.9722,41.3163
forest,37.4374,156.3807,68.1375
forest,33.6027,152.4082,60.8709
forest,48.1203,146.2091,40.138
forest,44.5729,186.3651,51.0975
forest,35.5717,184.607,61.7714
forest,44.6265,151.6586,47.0807
forest,34.5076,166.933,35.881
forest,46.152,148.9205,57.0375
forest,51.3247,96.0229,38.705
forest,33.8575,156.677,58.5279
forest,42.7231,153.9999,66.4817
forest,51.7564,100.0673,40.1114
forest,41.505,153.3706,50.1421
forest,40.3991,136.5376,59.4445
forest,59.734,117.8263,47.7736
forest,37.9847,144.2304,57.0807
forest,44.2746,158.5487,60.7898
forest,42.362,155.0797,52.3834
forest,43.2565,180.8884,46.5734
forest,34.4466,148.7703,85.3995
forest,44.2081,133.8638,50.6141
forest,36.0824,159.8385,75.6803
forest,54.47,95.347,44.3082
forest,45.3072,163.2,39.6372
forest,40.9909,190.98,59.2113
forest,48.6457,117.3088,43.964
forest,44.9355,153.4872,45.1187
forest,40.269,200.5411,62.6618
forest,36.7374,184.3938,71.9142
forest,37.7186,158.8382,52.705
forest,37.1104,148.116,58.3045
forest,47.582,126.7121,47.6402
forest,38.2893,153.2216,74.1696
forest,33.3611,174.6899,73.1306
forest,55.622,115.96,45.5475
forest,59.1333,85.0582,41.2403
forest,34.5952,167.8837,69.8618
forest,58.661,93.3584,40.7565
forest,55.8808,99.1978,56.4185
forest,39.93,125.2535,60.704
forest,35.2852,159.133,71.4795
forest,38.9314,142.4637,41.0104
forest,44.5041,160.0734,66.3122
forest,44.2961,149.842,69.9283
forest,54.5886,99.6555,46.7402
forest,53.2955,118.6408,40.813
forest,49.7337,130.0195,53.0245
forest,43.3193,156.0501,46.8743
forest,42.7471,164.8185,57.4317
forest,40.881,165.5253,51.6383
forest,43.8807,159.132,57.4033
forest,42.3025,167.5801,64.9896
forest,53.0858,128.7244,46.514
forest,45.0976,147.7906,54.9265
forest,36.7123,178.7433,28.5967
forest,36.0767,153.6018,53.2387
forest,39.7392,195.5895,65.9426
forest,30.4355,178.8686,59.8947
forest,44.9977,163.7297,39.6278
forest,41.6723,171.187,62.9774
forest,43.2642,132.8594,41.5859
forest,56.2933,146.5036,50.8129
forest,46.3444,136.4474,61.0356
forest,37.7698,164.8534,48.6427
forest,41.126,183.1551,69.5618
forest,40.1615,121.1595,52.4294
forest,41.8202,109.6977,51.982
forest,34.4575,166.021,79.2924
forest,38.1525,163.0999,49.8451
forest,43.1517,129.4403,38.7486
forest,50.0959,109.4316,63.4244
forest,43.9731,174.1026,43.5945
forest,27.8865,196.4594,70.1122
forest,37.8709,143.2869,78.6829
forest,41.0609,133.2306,46.1538
forest,45.5187,157.7825,61.862
forest,43.1437,137.8651,45.8187
forest,47.411,122.438,42.0725
forest,42.5178,155.8802,47.2561
forest,47.639,140.168,45.2897
forest,46.4187,135.9901,42.5973
forest,52.5161,103.0673,42.1657
forest,41.8021,169.0167,47.4774
forest,57.906,89.1927,41.7638
forest,54.7674,100.3065,46.023
forest,37.5228,185.2699,49.1912
forest,48.4674,122.6678,57.0387
forest,43.1648,174.6068,67.8772
forest,45.5548,137.0707,60.3251
forest,67.6159,85.2057,50.9404
forest,43.3819,170.648,64.7204
forest,49.9891,121.8815,57.8686
forest,36.6098,178.2946,59.143
forest,51.0526,112.7704,39.8327
forest,45.736,127.8903,47.632
forest,39.7817,185.9577,71.1169
forest,46.6823,146.2535,44.7931
forest,44.542,148.3956,46.0453
forest,43.8383,145.4511,48.2898
grassland,44.8364,197.967,140.0465
grassland,44.2421,181.7339,153.4753
grassland,44.5277,198.4672,108.4878
grassland,36.3642,236.2136,107.1018
grassland,41.5906,193.0166,151.1209
grassland,38.2527,227.6884,106.5136
grassland,41.3378,192.81,151.7121
grassland,32.0258,198.2123,143.2079
grassland,41.3456,220.1924,120.9484
grassland,45.04,197.9502,95.625
grassland,41.175,202.3853,146.196
grassland,44.0413,196.6156,150.1642
grassland,38.6179,191.858,110.0481
grassland,40.772,213.0401,156.8031
grassland,43.3704,202.0811,151.0329
grassland,36.4822,214.7101,110.0094
grassland,44.5864,187.6061,118.0639
grassland,39.1765,194.9307,158.6752
grassland,35.8543,195.7713,131.221
grassland,42.4772,201.1016,156.2983
grassland,44.2296,214.4445,108.9331
grassland,44.7335,195.2813,106.2188
grassland,32.9622,187.1521,133.8503
grassland,42.5755,218.6636,114.2138
grassland,42.513,207.7759,150.8302
grassland,43.6734,217.4139,112.0291
grassland,29.1513,212.4782,96.5505
grassland,34.5314,201.3385,135.1271
grassland,39.7351,215.7432,107.858
grassland,35.5975,210.4231,128.7726
grassland,39.0029,223.331,97.4374
grassland,40.0462,211.8474,125.5376
grassland,40.8554,199.698,151.0532
grassland,39.0807,228.6075,108.0122
grassland,40.6219,209.1418,154.0457
grassland,44.9097,219.5127,102.3928
grassland,42.6696,206.4026,116.6809
grassland,40.3225,195.7656,156.3685
grassland,33.3968,172.9737,145.5188
grassland,42.0373,224.0165,85.949
grassland,31.9009,169.7477,101.8804
grassland,43.955,205.9899,137.1954
